Step,Epsilon_2,p,q,specificVoid
426,0.0426,750.588,775.579,1.933
427,0.0427,750.742,776.117,1.93296
428,0.0428,750.895,776.652,1.93292
429,0.0429,751.046,777.185,1.93287
430,0.043,751.197,777.715,1.93283
431,0.0431,751.346,778.244,1.93279
432,0.0432,751.504,778.778,1.93275
433,0.0433,751.663,779.312,1.93271
434,0.0434,751.82,779.843,1.93267
435,0.0435,751.977,780.372,1.93263
436,0.0436,752.133,780.899,1.93259
437,0.0437,752.288,781.424,1.93255
438,0.0438,752.444,781.948,1.93251
439,0.0439,752.601,782.472,1.93247
440,0.044,752.758,782.995,1.93243
441,0.0441,752.918,783.519,1.93239
442,0.0442,753.078,784.042,1.93235
443,0.0443,753.239,784.565,1.93231
444,0.0444,753.401,785.086,1.93227
445,0.0445,753.563,785.607,1.93223
446,0.0446,753.724,786.125,1.93219
447,0.0447,753.885,786.642,1.93215
448,0.0448,754.045,787.157,1.93211
449,0.0449,754.204,787.669,1.93207
450,0.045,754.363,788.18,1.93203
451,0.0451,754.521,788.689,1.93199
452,0.0452,754.678,789.195,1.93195
453,0.0453,754.835,789.7,1.93191
454,0.0454,754.99,790.203,1.93187
455,0.0455,755.146,790.703,1.93183
456,0.0456,755.3,791.202,1.93179
457,0.0457,755.454,791.698,1.93175
458,0.0458,755.607,792.192,1.93171
459,0.0459,755.759,792.685,1.93167
460,0.046,755.91,793.175,1.93163
461,0.0461,756.061,793.664,1.93159
462,0.0462,756.211,794.15,1.93155
463,0.0463,756.36,794.634,1.93151
464,0.0464,756.508,795.116,1.93147
465,0.0465,756.656,795.597,1.93144
466,0.0466,756.803,796.075,1.9314
467,0.0467,756.949,796.551,1.93136
468,0.0468,757.094,797.025,1.93132
469,0.0469,757.238,797.497,1.93128
470,0.047,757.382,797.968,1.93124
471,0.0471,757.525,798.436,1.9312
472,0.0472,757.668,798.902,1.93116
473,0.0473,757.809,799.366,1.93112
474,0.0474,757.95,799.829,1.93109
475,0.0475,758.09,800.289,1.93105
476,0.0476,758.229,800.747,1.93101
477,0.0477,758.367,801.203,1.93097
478,0.0478,758.505,801.658,1.93093
479,0.0479,758.642,802.11,1.93089
480,0.048,758.778,802.561,1.93085
481,0.0481,758.913,803.009,1.93082
482,0.0482,759.048,803.455,1.93078
483,0.0483,759.181,803.9,1.93074
484,0.0484,759.314,804.343,1.9307
485,0.0485,759.447,804.783,1.93066
486,0.0486,759.578,805.222,1.93063
487,0.0487,759.709,805.659,1.93059
488,0.0488,759.838,806.094,1.93055
489,0.0489,759.968,806.526,1.93051
490,0.049,760.096,806.957,1.93047
491,0.0491,760.223,807.387,1.93044
492,0.0492,760.35,807.814,1.9304
493,0.0493,760.476,808.239,1.93036
494,0.0494,760.601,808.662,1.93032
495,0.0495,760.726,809.084,1.93028
496,0.0496,760.849,809.503,1.93025
497,0.0497,760.972,809.921,1.93021
498,0.0498,761.094,810.336,1.93017
499,0.0499,761.215,810.75,1.93013
500,0.05,761.336,811.162,1.9301
501,0.0501,761.456,811.572,1.93006
502,0.0502,761.575,811.981,1.93002
503,0.0503,761.693,812.387,1.92999
504,0.0504,761.81,812.791,1.92995
505,0.0505,761.927,813.194,1.92991
506,0.0506,762.042,813.595,1.92987
507,0.0507,762.157,813.993,1.92984
508,0.0508,762.272,814.39,1.9298
509,0.0509,762.385,814.785,1.92976
510,0.051,762.498,815.179,1.92973
511,0.0511,762.61,815.57,1.92969
512,0.0512,762.721,815.96,1.92965
513,0.0513,762.831,816.347,1.92962
514,0.0514,762.941,816.733,1.92958
515,0.0515,763.049,817.117,1.92954
516,0.0516,763.157,817.5,1.92951
517,0.0517,763.264,817.88,1.92947
518,0.0518,763.371,818.259,1.92943
519,0.0519,763.476,818.636,1.9294
520,0.052,763.581,819.011,1.92936
521,0.0521,763.685,819.384,1.92932
522,0.0522,763.789,819.755,1.92929
523,0.0523,763.891,820.125,1.92925
524,0.0524,763.993,820.493,1.92921
525,0.0525,764.094,820.858,1.92918
526,0.0526,764.194,821.223,1.92914
527,0.0527,764.293,821.585,1.9291
528,0.0528,764.392,821.946,1.92907
529,0.0529,764.489,822.306,1.92903
530,0.053,764.593,822.668,1.929
531,0.0531,764.691,823.026,1.92896
532,0.0532,764.787,823.38,1.92892
533,0.0533,764.882,823.732,1.92889
534,0.0534,764.975,824.082,1.92885
535,0.0535,765.068,824.43,1.92882
536,0.0536,765.16,824.776,1.92878
537,0.0537,765.251,825.121,1.92875
538,0.0538,765.341,825.463,1.92871
539,0.0539,765.431,825.804,1.92867
540,0.054,765.52,826.143,1.92864
541,0.0541,765.608,826.481,1.9286
542,0.0542,765.695,826.817,1.92857
543,0.0543,765.782,827.151,1.92853
544,0.0544,765.867,827.483,1.9285
545,0.0545,765.953,827.814,1.92846
546,0.0546,766.037,828.142,1.92843
547,0.0547,766.121,828.47,1.92839
548,0.0548,766.203,828.795,1.92836
549,0.0549,766.285,829.12,1.92832
550,0.055,766.367,829.442,1.92829
551,0.0551,766.447,829.763,1.92825
552,0.0552,766.527,830.081,1.92822
553,0.0553,766.606,830.399,1.92818
554,0.0554,766.685,830.715,1.92815
555,0.0555,766.764,831.03,1.92811
556,0.0556,766.843,831.346,1.92808
557,0.0557,766.925,831.663,1.92804
558,0.0558,767.008,831.981,1.92801
559,0.0559,767.094,832.3,1.92797
560,0.056,767.183,832.622,1.92794
561,0.0561,767.274,832.946,1.9279
562,0.0562,767.367,833.271,1.92787
563,0.0563,767.463,833.598,1.92783
564,0.0564,767.559,833.924,1.9278
565,0.0565,767.656,834.251,1.92776
566,0.0566,767.753,834.576,1.92773
567,0.0567,767.85,834.9,1.92769
568,0.0568,767.947,835.224,1.92766
569,0.0569,768.043,835.546,1.92762
570,0.057,768.138,835.866,1.92759
571,0.0571,768.233,836.186,1.92755
572,0.0572,768.328,836.504,1.92752
573,0.0573,768.423,836.821,1.92748
574,0.0574,768.516,837.137,1.92745
575,0.0575,768.61,837.451,1.92741
576,0.0576,768.703,837.765,1.92738
577,0.0577,768.795,838.077,1.92735
578,0.0578,768.887,838.387,1.92731
579,0.0579,768.979,838.697,1.92728
580,0.058,769.07,839.005,1.92724
581,0.0581,769.161,839.312,1.92721
582,0.0582,769.251,839.618,1.92717
583,0.0583,769.341,839.922,1.92714
584,0.0584,769.43,840.225,1.9271
585,0.0585,769.519,840.527,1.92707
586,0.0586,769.608,840.828,1.92704
587,0.0587,769.696,841.127,1.927
588,0.0588,769.783,841.426,1.92697
589,0.0589,769.87,841.723,1.92693
590,0.059,769.957,842.019,1.9269
591,0.0591,770.043,842.313,1.92687
592,0.0592,770.129,842.606,1.92683
593,0.0593,770.214,842.899,1.9268
594,0.0594,770.299,843.189,1.92676
595,0.0595,770.383,843.479,1.92673
596,0.0596,770.467,843.768,1.9267
597,0.0597,770.55,844.055,1.92666
598,0.0598,770.633,844.341,1.92663
599,0.0599,770.716,844.626,1.9266
600,0.06,770.798,844.909,1.92656
601,0.0601,770.879,845.192,1.92653
602,0.0602,770.96,845.473,1.92649
603,0.0603,771.041,845.753,1.92646
604,0.0604,771.121,846.032,1.92643
605,0.0605,771.201,846.309,1.92639
606,0.0606,771.28,846.586,1.92636
607,0.0607,771.359,846.861,1.92633
608,0.0608,771.437,847.135,1.92629
609,0.0609,771.515,847.408,1.92626
610,0.061,771.592,847.68,1.92623
611,0.0611,771.669,847.95,1.92619
612,0.0612,771.745,848.219,1.92616
613,0.0613,771.821,848.488,1.92613
614,0.0614,771.897,848.755,1.92609
615,0.0615,771.972,849.021,1.92606
616,0.0616,772.047,849.285,1.92603
617,0.0617,772.121,849.549,1.92599
618,0.0618,772.194,849.811,1.92596
619,0.0619,772.268,850.072,1.92593
620,0.062,772.34,850.333,1.9259
621,0.0621,772.413,850.591,1.92586
622,0.0622,772.484,850.849,1.92583
623,0.0623,772.556,851.106,1.9258
624,0.0624,772.627,851.361,1.92576
625,0.0625,772.697,851.616,1.92573
626,0.0626,772.767,851.869,1.9257
627,0.0627,772.837,852.121,1.92567
628,0.0628,772.906,852.372,1.92563
629,0.0629,772.974,852.622,1.9256
630,0.063,773.042,852.871,1.92557
631,0.0631,773.11,853.118,1.92554
632,0.0632,773.177,853.365,1.9255
633,0.0633,773.244,853.61,1.92547
634,0.0634,773.31,853.855,1.92544
635,0.0635,773.376,854.098,1.9254
636,0.0636,773.442,854.34,1.92537
637,0.0637,773.507,854.581,1.92534
638,0.0638,773.571,854.821,1.92531
639,0.0639,773.635,855.059,1.92528
640,0.064,773.699,855.297,1.92524
641,0.0641,773.762,855.534,1.92521
642,0.0642,773.825,855.769,1.92518
643,0.0643,773.887,856.004,1.92515
644,0.0644,773.948,856.237,1.92511
645,0.0645,774.01,856.469,1.92508
646,0.0646,774.071,856.7,1.92505
647,0.0647,774.131,856.93,1.92502
648,0.0648,774.191,857.159,1.92499
649,0.0649,774.25,857.387,1.92495
650,0.065,774.309,857.614,1.92492
651,0.0651,774.368,857.84,1.92489
652,0.0652,774.426,858.065,1.92486
653,0.0653,774.484,858.288,1.92483
654,0.0654,774.541,858.511,1.92479
655,0.0655,774.598,858.733,1.92476
656,0.0656,774.654,858.953,1.92473
657,0.0657,774.71,859.172,1.9247
658,0.0658,774.765,859.391,1.92467
659,0.0659,774.82,859.608,1.92463
660,0.066,774.875,859.825,1.9246
661,0.0661,774.929,860.04,1.92457
662,0.0662,774.983,860.254,1.92454
663,0.0663,775.036,860.467,1.92451
664,0.0664,775.088,860.679,1.92448
665,0.0665,775.141,860.891,1.92444
666,0.0666,775.193,861.101,1.92441
667,0.0667,775.244,861.31,1.92438
668,0.0668,775.295,861.518,1.92435
669,0.0669,775.345,861.725,1.92432
670,0.067,775.395,861.931,1.92429
671,0.0671,775.445,862.136,1.92426
672,0.0672,775.494,862.34,1.92422
673,0.0673,775.543,862.543,1.92419
674,0.0674,775.591,862.745,1.92416
675,0.0675,775.639,862.946,1.92413
676,0.0676,775.686,863.146,1.9241
677,0.0677,775.733,863.345,1.92407
678,0.0678,775.78,863.543,1.92404
679,0.0679,775.826,863.74,1.924
680,0.068,775.871,863.936,1.92397
681,0.0681,775.916,864.131,1.92394
682,0.0682,775.961,864.325,1.92391
683,0.0683,776.005,864.518,1.92388
684,0.0684,776.049,864.71,1.92385
685,0.0685,776.093,864.901,1.92382
686,0.0686,776.135,865.091,1.92379
687,0.0687,776.178,865.28,1.92376
688,0.0688,776.22,865.468,1.92373
689,0.0689,776.262,865.654,1.92369
